ModelName,NumFeatures,SumParams,SumFlops
deepsurv,1,602,400
deephit,1,10224,9888
mtlr,1,480,29280
dsm,1,632,320
hierarch,1,43024,84900
mensa,1,328,288
deepsurv,100,20402,20200
deephit,100,13392,13056
mtlr,100,24240,53040
dsm,100,3800,3488
hierarch,100,52924,94800
mensa,100,3496,3456
deepsurv,200,40402,40200
deephit,200,16658,16320
mtlr,200,48240,77040
dsm,200,7000,6688
hierarch,200,62924,104800
mensa,200,6696,6656
deepsurv,300,60402,60200
deephit,300,19858,19520
mtlr,300,72240,101040
dsm,300,10200,9888
hierarch,300,72924,114800
mensa,300,9896,9856
deepsurv,400,80402,80200
deephit,400,22992,22656
mtlr,400,96240,125040
dsm,400,13400,13088
hierarch,400,82924,124800
mensa,400,13096,13056
deepsurv,500,100402,100200
deephit,500,26258,25920
mtlr,500,120240,149040
dsm,500,16600,16288
hierarch,500,92924,134800
mensa,500,16296,16256
deepsurv,600,120402,120200
deephit,600,29392,29056
mtlr,600,144240,173040
dsm,600,19800,19488
hierarch,600,102924,144800
mensa,600,19496,19456
deepsurv,700,140402,140200
deephit,700,32658,32320
mtlr,700,168240,197040
dsm,700,23000,22688
hierarch,700,112924,154800
mensa,700,22696,22656
deepsurv,800,160402,160200
deephit,800,35792,35456
mtlr,800,192240,221040
dsm,800,26200,25888
hierarch,800,122924,164800
mensa,800,25896,25856
deepsurv,900,180402,180200
deephit,900,38992,38656
mtlr,900,216240,245040
dsm,900,29400,29088
hierarch,900,132924,174800
mensa,900,29096,29056
deepsurv,1000,200402,200200
deephit,1000,42258,41920
mtlr,1000,240240,269040
dsm,1000,32600,32288
hierarch,1000,142924,184800
mensa,1000,32296,32256
